"method","split","acc_mean","acc_std"
"relationnet","train","80","9.49073622402783"
"relationnet","val","52.444444444444436","4.909049340972116"
"relationnet","test","63.99999999999999","5.7606583985847655"
"relationnet","train","47.555555555555564","2.2662308949301306"
"relationnet","val","37.333333333333336","12.268598881637564"
"relationnet","test","46.666666666666664","1.0886621079036367"
"relationnet","train","66.22222222222223","28.748376228971075"
"relationnet","val","49.77777777777778","8.799551054765928"
"relationnet","test","59.55555555555555","5.995883361436459"
"relationnet","train","55.555555555555564","6.6518353542647874"
"relationnet","val","48.888888888888886","13.784944372685176"
"relationnet","test","42.666666666666664","9.676240469812107"
"relationnet","train","90","5.656854249492381"
"relationnet","val","42.22222222222222","8.368075726116768"
"relationnet","test","33.58024691358025","5.619657618143725"
"relationnet","train","93.11111111111113","3.624334762288911"
"relationnet","val","54.44444444444445","5.057691856329351"
"relationnet","test","37.77777777777778","1.0475656017578479"
"relationnet","train","70.22222222222221","18.772188517282554"
"relationnet","val","56","14.15260740274725"
"relationnet","test","51.55555555555555","5.144816401240099"
"relationnet","train","77.55555555555556","7.875575620741932"
"relationnet","val","43.555555555555564","3.7051848890073504"
"relationnet","test","39.50617283950617","4.290900542464879"
"relationnet","train","58.22222222222223","10.685169137930048"
"relationnet","val","40","3.265986323710904"
"relationnet","test","52.44444444444445","3.8232556742411683"
"relationnet","train","76.22222222222221","3.861810488218391"
"relationnet","val","52.888888888888886","5.452375176171243"
"relationnet","test","33.58024691358025","3.103655577771984"
"relationnet","train","82.66666666666666","4.745368112013916"
"relationnet","val","52.88888888888889","11.64071186996338"
"relationnet","test","52.44444444444445","7.646511348482331"
"relationnet","train","60.666666666666664","5.760658398584767"
"relationnet","val","43.77777777777777","3.6243347622889095"
"relationnet","test","31.604938271604937","3.439108216588672"
"relationnet","train","58.22222222222223","18.549899337519296"
"relationnet","val","51.111111111111114","8.799551054765926"
"relationnet","test","56.444444444444436","11.942247860039467"
"relationnet","train","93.77777777777779","1.7497795275581862"
"relationnet","val","44.888888888888886","11.551281260770688"
"relationnet","test","37.03703703703703","3.777051491550212"
"relationnet","train","88.88888888888887","5.586580039989574"
"relationnet","val","46.22222222222222","14.78070146516968"
"relationnet","test","40.888888888888886","4.399775527382961"
"relationnet","train","82.66666666666667","3.8103173776627246"
"relationnet","val","32.22222222222222","4.399775527382963"
"relationnet","test","28.641975308641975","4.579564689133681"
"relationnet","train","94.66666666666667","3.5694174231575597"
"relationnet","val","47.555555555555564","5.586580039989572"
"relationnet","test","32.098765432098766","4.925910455125928"
"relationnet","train","58.22222222222222","16.877188929820015"
"relationnet","val","47.55555555555555","8.024653371230128"
"relationnet","test","63.111111111111114","13.611904738767604"
"relationnet","train","91.1111111111111","2.2662308949301253"
"relationnet","val","56.444444444444436","6.849348892187747"
"relationnet","test","37.28395061728395","3.1036555777719825"
"relationnet","train","63.11111111111111","3.4995590551163613"
"relationnet","val","61.333333333333336","19.806471071250844"
"relationnet","test","58.22222222222222","12.89654944759725"
"relationnet","train","75.33333333333333","7.620634755325445"
"relationnet","val","48.666666666666664","4.320493798938571"
"relationnet","test","37.283950617283956","1.2590171638500698"
"relationnet","train","78.22222222222221","2.7397395568750964"
"relationnet","val","45.77777777777778","9.258962958222067"
"relationnet","test","48.88888888888889","14.820739556029395"
"relationnet","train","98.44444444444446","1.3698697784375486"
"relationnet","val","50","4.650766563656967"
"relationnet","test","34.567901234567906","1.8477320428513284"
"relationnet","train","57.333333333333336","9.977753031397176"
"relationnet","val","52.44444444444445","2.2662308949301253"
"relationnet","test","48.88888888888889","13.124287164651912"
"relationnet","train","97.55555555555556","1.9116278371205797"
"relationnet","val","48.88888888888889","2.9979416807182324"
"relationnet","test","30.61728395061728","3.3310463119091462"
"relationnet","train","88.88888888888887","6.651835354264784"
"relationnet","val","60.444444444444436","6.190394789859606"
"relationnet","test","42.666666666666664","4.354648431614538"
"relationnet","train","93.55555555555556","5.820355934981684"
"relationnet","val","44.666666666666664","2.1773242158072703"
"relationnet","test","31.604938271604937","5.1438683101233735"
"relationnet","train","89.77777777777777","5.479479113750199"
"relationnet","val","53.77777777777778","10.573668669662505"
"relationnet","test","53.77777777777778","4.3997755273829595"
"relationnet","train","76.8888888888889","8.949791362489892"
"relationnet","val","39.77777777777778","2.685121327465461"
"relationnet","test","34.567901234567906","4.579564689133681"
"relationnet","train","96.22222222222223","2.739739556875103"
"relationnet","val","39.77777777777777","4.755763235340601"
"relationnet","test","32.59259259259259","2.1806816953895924"
"relationnet","train","68","17.281975195754296"
"relationnet","val","53.333333333333336","15.124177357487605"
"relationnet","test","51.555555555555564","1.2570787221094166"
"relationnet","train","97.33333333333333","0.9428090415820634"
"relationnet","val","38.22222222222222","5.230489909306585"
"relationnet","test","33.086419753086425","4.619330107128322"
"relationnet","train","64.88888888888889","17.59910210953185"
"relationnet","val","51.55555555555555","18.29254722422816"
"relationnet","test","65.33333333333333","10.722078294946506"
"relationnet","train","95.33333333333333","4.838120234906053"
"relationnet","val","43.111111111111114","9.511526470681202"
"relationnet","test","40.98765432098765","2.9834681416282884"
"relationnet","train","72.8888888888889","15.71348402636772"
"relationnet","val","50.22222222222223","12.04108194146139"
"relationnet","test","47.11111111111111","10.289632802480197"
"relationnet","train","67.77777777777779","6.1903947898596074"
"relationnet","val","41.55555555555555","8.508528764034065"
"relationnet","test","33.58024691358025","0.6983770678385652"
"relationnet","train","66.66666666666667","11.048713684138713"
"relationnet","val","52","13.244146156223415"
"relationnet","test","44","12.555063903844918"
"relationnet","train","82.88888888888889","7.969076034240491"
"relationnet","val","29.333333333333332","5.682983045575299"
"relationnet","test","22.46913580246914","4.116872098897054"
"relationnet","train","50.666666666666664","12.364824660660938"
"relationnet","val","26.66666666666667","11.048713684138715"
"relationnet","test","39.11111111111111","19.023052941362394"
"relationnet","train","86.22222222222223","2.266230894930123"
"relationnet","val","30","4.320493798938573"
"relationnet","test","31.604938271604937","2.9834681416282884"
"relationnet","train","78.66666666666667","6.061414087549272"
"relationnet","val","48.44444444444445","6.651835354264785"
"relationnet","test","46.22222222222223","8.731947868617112"
"relationnet","train","94","0.94280904158207"
"relationnet","val","30","3.3993463423951877"
"relationnet","test","35.06172839506173","1.2590171638500731"